Text,Type
a remarkable ice creature,Plot
morgan freeman,Actor
stanley kubric,Director
1968,Year
epic sci fi classic,Genre
second film of the ghost rider series,Relationship
nicholas cage,Actor
protect a mysterious mother and son from the devil himself,Plot
zombie thriller,Genre
a group of survivors locked in a mall fighting the undead,Plot
1974,Year
musical,Genre
lucille ball,Actor
bea arthur,Actor
based on a broadway show,Origin
2004,Year
terrance howard,Actor
sandra bolluck,Actor
racial tension in los angeles,Plot
first film in,Relationship
george lucas,Director
famous space saga,Relationship
good and evil,Plot
60 s,Year
western,Genre
7 gunman protecting a village from bandits,Plot
talking donkey and the green giant man,Plot
famous,Opinion
children s story,Origin
a girl a grandmother and a big bad wolf,Plot
old,Genre
undead creature stalking the night,Plot
scary,Genre
jamie lee curtis,Actor
a babysitter who gets stalked by her psycho older brother,Plot
robert downing jr,Actor
forced into a road trip with a stranger in order the make the arrival of the birth of his child,Plot
french,Genre
set in world war ii about a parisian actress who tries to hide her jewish husband from the nazis,Plot
a meek hobbit,Plot
and eight companions set out on a journey to mount doom,Plot
lord sauron,Character_Name
kristen bell,Actor
a loser in love whose fortune changes when she takes a trip to europe,Plot
chris hemsworth,Actor
an alien who wants to save and protect earth from his brother,Plot
2011,Year
american superhero,Genre
based on the comic book character of the same name,Origin
chris hemworth,Actor
a george orwell book,Origin
parodies communism,Plot
peter jackson,Director
animated,Genre
a pet chameleon who finds his courage in the wild west,Plot
sci fi,Genre
prequel to the alien movies,Relationship
a street rat prince who attempts to win the heart of a beautiful princess,Plot
john ford,Director
western,Genre
john wayne henry fonda,Actor
shirley temple,Actor
fighting indians in the southwest,Plot
1996,Year
coen brother,Director
francis mcdormand,Actor
william h macy,Actor
2011,Year
magical blue men and one girl get lost in new york city and need,Plot
neil patrick harris,Actor
to help them get home again,Plot
christmas movie,Genre
kevin,Character_Name
he takes on two pesky robbers,Plot
a stray dog that sets out to save two kidnapped children,Plot
that involves a japanese prison camp with british prisoners,Plot
animated,Genre
revealing the high tech way santa runs the north pole,Plot
classic,Opinion
giant gorilla takes a damsel hostage and climbs buildings,Plot
brendan fraser,Actor
rachel weisz,Actor
seek ancient treasure in the ancient city of hamunaptra,Plot
2009,Year
japanese anime,Origin
young robot who is made from the image of a scientist s son,Plot
1995,Year
thriller,Genre
dynamic trio,Opinion
morgan freeman brad pitt,Actor
kevin spacey,Actor
examination of mans deadly sins,Plot
musical,Genre
rivalry between the sharks and jets,Plot
robert altman,Director
warren beatty,Actor
oscar nominated,Award
julie christie,Actor
1971,Year
western,Genre
bow wow,Actor
wins a raffle and becomes rich in a ghetto neighborhood,Plot
1984,Year
slasher flick,Genre
robert englund,Actor
a deformed serial killer that you hope you never dream about,Plot
work superiors hosting a dinner celebrating the idiocy of their guests a rising executive questions it when he s invited just as he befriends a man who would be the perfect guest,Plot
1994,Year
uma thurman john travolta,Actor
samuel l jackson,Actor
2 mob men,Plot
quentin tarantino,Director
stanley cubric,Director
1968,Year
sci fi,Genre
mel gibson,Actor
takes place in the scottish highlands,Genre
2001,Year
anne hathaway,Actor
she is the heir to the throne of genovia,Plot
charles dickens,Origin
classic,Genre
the,Plot
ghost of christmas past,Character_Name
first move,Relationship
animated series,Genre
buzz lightyear,Character_Name
woody,Character_Name
the beatles agree to accompany,Plot
captain fred,Character_Name
in his yellow submarine and travel to pepperland to free it from the music hating blue meanies,Plot
2010,Year
spooky,Opinion
sci fi,Genre
classic,Opinion
remake,Genre
benicio del toro,Actor
lawrence talbot,Character_Name
man seeking his brother s supernatural killer,Plot
mind blowing,Opinion
a twisted take on the ballet swan lake,Plot
animated comedy action,Genre
video game villain wants to be a hero and sets out to fulfill his dream but his quest brings havoc to the whole arcade where he lives,Plot
a chameleon who dresses up as a cowboy,Plot
cartoon,Genre
hitchcock,Director
cary grant,Actor
mistaken for a spy,Plot
1937,Year
german fairy tale,Origin
animated,Genre
action thriller,Genre
mark wahlburg,Actor
a retired criminal who has to settle his brother in law s debts with drug dealers,Plot
fantasy horror,Genre
nicolas cage,Actor
a knight charged with the task of escorting an accused witch to a monastery during the time of the black death,Plot
part 2,Origin
disney movie,Origin
vehicles that talk and have personality,Plot
an innocent man in jail finally escapes from prison and lives the life he has always dreamt of,Plot
animated,Genre
dreamworks,Director
same year,Year
disney,Director
dorothy,Character_Name
toto,Character_Name
going over the rainbow and having to seek help along the yellow brick road,Plot
ralph fiennes,Actor
gweneth paltrow,Actor
drama,Genre
a fictionalization of a famous writer,Origin
classic alfred hitchcock,Director
a small fishing village that is held hostage by a freak of nature in the animal world,Plot
seven spielberg,Director
jeff goldblum,Actor
ian malcolm,Character_Name
about dinosaurs,Plot
the cartoon version of romeo and juliet,Plot
steven spielberg,Director
a young boy s efforts to help a mysterious alien phone home,Plot
comic book,Genre
features the thunder god facing his brother loki for control of asgard,Plot
ingmar bergman,Director
max von sydow,Actor
playing chess with death,Plot
a group of military surgeons in the korean war,Plot
robert altman,Director
classic,Genre
animated,Genre
cruella devil,Character_Name
glenn close,Actor
richard attenborough,Director
failed operation market garden,Plot
1951,Year
humphrey bogart,Actor
katharine hepburn,Actor
a captain who gets talked into using his boat to attack an enemy warship during wwi,Plot
bing crosby,Actor
bob hope,Actor
where they ride on an elephant,Plot
2010,Year
romantic comedy,Genre
jennifer aniston,Actor
gerard butler,Actor
centered around a bounty hunter hired to retrieve his ex wife,Plot
2006,Year
finds a cure for mutation,Plot
third installment,Relationship
popular,Opinion
franchise,Relationship
margaret mitchell,Origin
southern bell surviving during the civil war,Plot
1980,Year
comedy,Genre
classic,Opinion
leslie nielsen,Actor
takes place on a jet where everything goes wrong,Plot
animated,Genre
based on a book,Origin
where food rains down from the sky like rain,Plot
steve martin,Actor
daughter is about to be married,Plot
1954,Year
alfred hitchcock,Director
classic,Genre
jimmy stewart,Actor
a man who witnesses a murder from his apartment,Plot
disney,Genre
julie andrews,Actor
nanny with a flying umbrella,Plot
1965,Year
a russian doctor and poet,Plot
omar sharif julie christie and geraldine chaplin,Actor
shocking,Opinion
john water,Director
the search for the world s filthiest people,Plot
girl with the help of her extremely long and magical hair find her way back to her original family after being kidnapped by a witch,Plot
comedy,Genre
two families not at all alike meet at martha s vineyard for a wedding,Plot
1948,Year
gold fever,Plot
john huston,Director
humphrey bogart,Actor
dark comedy,Genre
someone dies causing family secrets to be exposed,Plot
science fiction thriller,Genre
harrison ford,Actor
based on the philip k dick novel do,Origin
androids dream of electric sheep,Plot
fantasy thriller,Genre
knights capturing a witch who is accused of bringing a plague,Plot
1998,Year
steven spielberg,Director
a group of soldiers traveling the french countryside in search of one man,Plot
third installment of a series,Relationship
based on a toy line,Origin
michael bay,Director
where americans meet up with an old prospector and look for gold in the wilds of central mexico,Plot
1973,Year
horror,Genre
linda blair,Actor
demonic child,Plot
adapted from a book,Origin
base on a book,Origin
about three kids who go through a path in a closet to a magical land,Plot
helen hunt,Actor
a mute pianist sent to new zealand,Plot
greek mythology,Origin
giant monsters and gods all fighting each other,Plot
2011,Year
catholic church and how they can defend against possession,Plot
a naive bucked tooth guy decides to break into the pornography industry,Plot
1941,Year
orson welles,Director
about the last words of a newspaper tycoon,Plot
alien have the ability to turn itself invisible while hunting,Plot
1972,Year
burt reynolds jon voight ned beatty,Actor
ronnie cox,Actor
friends out on a river trip,Plot
a family heads to an isolated hotel for the winter where an evil and spiritual presence influences the father into violence while his psychic son sees horrific forebodings from the past and of the future,Plot
1980,Year
horror,Genre
stephen king s novel,Origin
